input file name: dataset/mr_input.dat
train mean loss=0.000679785502143, accuracy=0.999791562557
 test mean loss=0.98457968235, accuracy=0.800374865532
epoch 39 / 100
train mean loss=0.000672065420076, accuracy=0.999791562557
 test mean loss=0.974112272263, accuracy=0.799437701702
epoch 40 / 100
train mean loss=0.000673887727316, accuracy=0.999791562557
 test mean loss=0.967533409595, accuracy=0.797563254833
epoch 41 / 100
train mean loss=0.000693769310601, accuracy=0.999791562557
 test mean loss=0.964715838432, accuracy=0.794751644135
epoch 42 / 100
train mean loss=0.00069737888407, accuracy=0.999791562557
 test mean loss=0.950573921204, accuracy=0.794751644135
epoch 43 / 100
train mean loss=0.000706231512595, accuracy=0.999791562557
 test mean loss=0.936776399612, accuracy=0.800374865532
epoch 44 / 100
train mean loss=0.000684799801093, accuracy=0.999791562557
 test mean loss=0.93026804924, accuracy=0.800374865532
epoch 45 / 100
train mean loss=0.000717391259968, accuracy=0.999791562557
 test mean loss=0.921925961971, accuracy=0.799437701702
epoch 46 / 100
train mean loss=0.000739713083021, accuracy=0.999791562557
 test mean loss=0.914435327053, accuracy=0.798500478268
epoch 47 / 100
train mean loss=0.000715514877811, accuracy=0.999791562557
 test mean loss=0.910120248795, accuracy=0.799437701702
epoch 48 / 100
train mean loss=0.000716249051038, accuracy=0.999791562557
 test mean loss=0.904825389385, accuracy=0.801312088966
epoch 49 / 100
train mean loss=0.000753249507397, accuracy=0.999791562557
 test mean loss=0.900236129761, accuracy=0.799437701702
epoch 50 / 100
train mean loss=0.000729961204343, accuracy=0.999791562557
 test mean loss=0.892229259014, accuracy=0.799437701702
epoch 51 / 100
train mean loss=0.000754368782509, accuracy=0.999791562557
 test mean loss=0.886019051075, accuracy=0.796626031399
epoch 52 / 100
train mean loss=0.000745687924791, accuracy=0.999791562557
 test mean loss=0.881194651127, accuracy=0.800374865532
epoch 53 / 100
train mean loss=0.000723394448869, accuracy=0.999791562557
 test mean loss=0.874950289726, accuracy=0.801312088966
epoch 54 / 100
train mean loss=0.000760656781495, accuracy=0.999791562557
 test mean loss=0.867336630821, accuracy=0.800374865532
epoch 55 / 100
train mean loss=0.00075351994019, accuracy=0.999791562557
 test mean loss=0.868322789669, accuracy=0.801312088966
epoch 56 / 100
train mean loss=0.000784607545938, accuracy=0.999791562557
 test mean loss=0.853652596474, accuracy=0.796626031399
epoch 57 / 100
train mean loss=0.000792697712313, accuracy=0.999791562557
 test mean loss=0.849197983742, accuracy=0.797563254833
epoch 58 / 100
train mean loss=0.000800618319772, accuracy=0.999791562557
 test mean loss=0.839332997799, accuracy=0.800374865532
epoch 59 / 100
train mean loss=0.000816405401565, accuracy=0.999791562557
 test mean loss=0.843744397163, accuracy=0.799437701702
epoch 60 / 100
train mean loss=0.000746117846575, accuracy=0.99958306551
 test mean loss=0.839297771454, accuracy=0.800374865532
epoch 61 / 100
train mean loss=0.000813552062027, accuracy=0.999791562557
 test mean loss=0.840891897678, accuracy=0.802249312401
epoch 62 / 100
train mean loss=0.000782991468441, accuracy=0.999791562557
 test mean loss=0.832243442535, accuracy=0.800374865532
epoch 63 / 100
train mean loss=0.000811029982287, accuracy=0.999791562557
 test mean loss=0.831582725048, accuracy=0.797563254833
